ORIGIN_AIRPORT_SEQ_ID,DEST_AIRPORT_SEQ_ID,REVISED_DISTANCE,LONGITUDE_ORIGIN,LATITUDE_ORIGIN,LONGITUDE_DEST,LATITUDE_DEST
1018304,1043106,4303,6.11027778,62.56027778,-82.54194444,35.43611111
1021004,1043106,1810,-102.31777778,21.70555556,-82.54194444,35.43611111
1021004,1054902,7838,-102.31777778,21.70555556,13.40138889,52.51166667
1021004,1145501,9896,-102.31777778,21.70555556,55.37055556,25.25138889
1021004,1315805,798,-102.31777778,21.70555556,-102.20194444,31.9425
1043106,1018304,5008,-82.54194444,35.43611111,6.11027778,62.56027778
1043106,1021004,1837,-82.54194444,35.43611111,-102.31777778,21.70555556
1043106,1054902,5705,-82.54194444,35.43611111,13.40138889,52.51166667
1043106,1067302,5559,-82.54194444,35.43611111,11.28861111,44.53555556
1043106,1145501,7535,-82.54194444,35.43611111,55.37055556,25.25138889
1043106,1201602,10221,-82.54194444,35.43611111,144.79722222,13.48388889
1043106,1252306,3212,-82.54194444,35.43611111,-134.57833333,58.35472222
1043106,1255905,503,-82.54194444,35.43611111,-78.83472222,40.31555556
1043106,1291503,837,-82.54194444,35.43611111,-93.22333333,30.12611111
1043106,1315805,1243,-82.54194444,35.43611111,-102.20194444,31.9425
1043106,1484202,1089,-82.54194444,35.43611111,-100.49638889,31.35777778
1054902,1021004,7818,13.40138889,52.51166667,-102.31777778,21.70555556
1054902,1043106,5424,13.40138889,52.51166667,-82.54194444,35.43611111
1054902,1067302,596,13.40138889,52.51166667,11.28861111,44.53555556
1054902,1145501,3412,13.40138889,52.51166667,55.37055556,25.25138889
1054902,1201602,7692,13.40138889,52.51166667,144.79722222,13.48388889
1054902,1252306,5575,13.40138889,52.51166667,-134.57833333,58.35472222
1054902,1291503,5598,13.40138889,52.51166667,-93.22333333,30.12611111
1054902,1315805,6339,13.40138889,52.51166667,-102.20194444,31.9425
1054902,1484202,5446,13.40138889,52.51166667,-100.49638889,31.35777778
1065402,1145501,9191,-81.12416667,37.78722222,55.37055556,25.25138889
1065402,1291503,1075,-81.12416667,37.78722222,-93.22333333,30.12611111
1065402,1315805,1507,-81.12416667,37.78722222,-102.20194444,31.9425
1065402,1484202,1537,-81.12416667,37.78722222,-100.49638889,31.35777778
1067302,1043106,5712,11.28861111,44.53555556,-82.54194444,35.43611111
1067302,1054902,578,11.28861111,44.53555556,13.40138889,52.51166667
1067302,1145501,3615,11.28861111,44.53555556,55.37055556,25.25138889
1067302,1201602,8803,11.28861111,44.53555556,144.79722222,13.48388889
1067302,1252306,6316,11.28861111,44.53555556,-134.57833333,58.35472222
1067302,1291503,5624,11.28861111,44.53555556,-93.22333333,30.12611111
1067302,1315805,5800,11.28861111,44.53555556,-102.20194444,31.9425
1067302,1484202,6901,11.28861111,44.53555556,-100.49638889,31.35777778
1067302,1564301,6564,11.28861111,44.53555556,-63.13527778,-17.64472222
1067302,1567301,884,11.28861111,44.53555556,14.72805556,56.92916667
1067302,1600402,3812,11.28861111,44.53555556,-70.99638889,48.33055556
1127402,1067302,5509,-90.70944444,42.40194444,11.28861111,44.53555556
1127402,1145501,7674,-90.70944444,42.40194444,55.37055556,25.25138889
1127402,1201602,7629,-90.70944444,42.40194444,144.79722222,13.48388889
1127402,1291503,1048,-90.70944444,42.40194444,-93.22333333,30.12611111
1127402,1315805,1209,-90.70944444,42.40194444,-102.20194444,31.9425
